pattern_name,category,upper,bottom,has_waistband,n_pieces,total_area_cm2,mean_piece_area_cm2,std_piece_area_cm2,cv_piece_area,min_piece_area_cm2,max_piece_area_cm2,mean_convexity,min_convexity,std_convexity,mean_aspect_ratio,std_aspect_ratio,mean_width_cm,mean_height_cm
rand_0ADI18HWRF,None+GodetSkirt,None,GodetSkirt,0,12,14361.82,1196.82,1441.62,1.2045,553.61,4653.95,0.9939,0.9516,0.0145,0.6417,0.0398,31.13,49.64
rand_1206DKC5IN,Shirt+SkirtCircle,Shirt,SkirtCircle,0,14,29879.03,2134.22,3680.08,1.7243,59.58,11355.17,0.9761,0.9302,0.0276,1.5666,0.6484,49.41,36.73
rand_14JTBA2OBL,None+Pants+WB,None,Pants,1,6,7394.9,1232.48,698.26,0.5665,247.28,1872.48,0.8466,0.6096,0.1148,2.852,3.3034,43.27,41.26
rand_19JCDVRTTX,None+PencilSkirt+WB,None,PencilSkirt,1,4,11939.51,2984.88,2787.99,0.934,192.25,6034.14,0.8742,0.715,0.0983,3.6876,3.1374,57.1,54.21
rand_1CC1X5R0NR,FittedShirt+Pants+WB,FittedShirt,Pants,1,18,12923.06,717.95,413.33,0.5757,77.12,1420.85,0.9372,0.824,0.0618,2.7997,4.7986,32.94,32.53
rand_1PSXI9D50T,Shirt+Skirt2,Shirt,Skirt2,0,6,6763.14,1127.19,459.21,0.4074,689.37,1863.29,0.8702,0.7005,0.1255,1.8995,1.9506,48.94,40.08
rand_1SR34YTITJ,Shirt+SkirtCircle+WB,Shirt,SkirtCircle,1,12,28227.23,2352.27,4008.13,1.7039,51.73,11272.77,0.9388,0.8666,0.0491,1.6163,1.297,48.27,40.69
rand_2OGPG824E3,Shirt+SkirtLevels,Shirt,SkirtLevels,0,20,13309.41,665.47,441.17,0.6629,129.22,1615.14,0.7622,0.3032,0.2925,2.3015,1.8781,41.16,29.8
rand_2R4A43ANWV,FittedShirt+PencilSkirt,FittedShirt,PencilSkirt,0,12,11451.59,954.3,1451.32,1.5208,6.85,4360.36,0.9141,0.6734,0.1214,3.452,5.6661,23.21,32.03
rand_300PM233IZ,Shirt+None+WB,Shirt,None,1,6,4855.35,809.22,377.1,0.466,257.91,1111.89,0.9353,0.9008,0.0458,4.5613,5.6977,38.24,35.28
rand_30G6XUUNDI,FittedShirt+Pants,FittedShirt,Pants,0,12,8319.75,693.31,280.26,0.4042,461.04,1165.06,0.9437,0.8595,0.0485,1.3894,0.753,31.11,28.14
rand_3D5WGR1NHO,FittedShirt+SkirtCircle+WB,FittedShirt,SkirtCircle,1,12,26088.25,2174.02,3678.43,1.692,183.91,10391.02,0.9066,0.7666,0.0927,2.2913,3.0137,49.67,41.19
rand_3K71N2J4TJ,Shirt+SkirtLevels+WB,Shirt,SkirtLevels,1,22,14369.32,653.15,374.24,0.573,81.89,1296.51,0.7393,0.2829,0.3029,2.5636,2.3705,45.28,26.86
rand_3LB6N6HXAQ,FittedShirt+Skirt2+WB,FittedShirt,Skirt2,1,14,18471.16,1319.37,2407.99,1.8251,22.41,7681.26,0.9373,0.7112,0.1017,2.9997,3.0264,31.67,30.88
rand_3NEP05MKI0,FittedShirt+SkirtLevels,FittedShirt,SkirtLevels,0,10,12711.99,1271.2,1273.2,1.0016,501.64,4061.91,0.9412,0.8468,0.0722,4.0648,4.199,51.02,34.01
rand_3T2IO849QH,FittedShirt+None+WB,FittedShirt,None,1,10,5001.09,500.11,139.39,0.2787,358.5,691.22,0.8973,0.7592,0.0904,2.2658,1.665,33.73,23.34
rand_3VVEOIHDZD,FittedShirt+AsymmSkirtCircle+WB,FittedShirt,AsymmSkirtCircle,1,20,8294.79,414.74,372.43,0.898,43.43,1412.7,0.9319,0.7363,0.0889,4.6903,4.017,30.0,19.54
rand_3W3DXKRE0V,None+AsymmSkirtCircle+WB,None,AsymmSkirtCircle,1,4,1997.88,499.47,161.49,0.3233,263.29,667.19,0.7349,0.4829,0.1959,2.4912,0.4756,44.08,18.14
rand_4DFJ1G28K5,Shirt+GodetSkirt,Shirt,GodetSkirt,0,20,7513.78,375.69,455.5,1.2124,27.23,1755.11,0.9013,0.6118,0.1398,1.1314,1.0078,21.37,25.73
rand_4XCU32VYML,None+GodetSkirt+WB,None,GodetSkirt,1,14,13444.04,960.29,945.12,0.9842,151.78,3419.89,0.9564,0.6425,0.0966,1.7227,2.7281,34.44,43.61
rand_5LR7Q171V5,Shirt+PencilSkirt,Shirt,PencilSkirt,0,18,15176.69,843.15,1238.88,1.4693,29.54,4288.1,0.9554,0.8387,0.0527,4.1691,5.0463,31.04,26.29
rand_69LB9LNXAJ,Shirt+Pants+WB,Shirt,Pants,1,24,17314.21,721.43,544.05,0.7541,13.09,1425.33,0.9636,0.8978,0.0427,3.4399,4.4692,29.61,27.69
