Generation,ImprovementFromInitial_mean,ImprovementFromInitial_std,ImprovementFromInitial_count,BestFitness_mean,BestFitness_std,DeltaBest_mean,DeltaBest_std
1,0.003834,0.008935,20,0.820964,0.07175,0.004941,0.009746
2,0.008281,0.011531,20,0.824069,0.071508,0.003105,0.006748
3,0.01077,0.012153,20,0.826855,0.069341,0.002786,0.00607
4,0.013652,0.014506,20,0.828866,0.068179,0.00201,0.006561
5,0.014841,0.015194,20,0.830834,0.067043,0.001968,0.005306
6,0.016554,0.018012,20,0.833086,0.06592,0.002253,0.006301
7,0.017041,0.017979,20,0.834149,0.065931,0.001063,0.006301
8,0.018628,0.017441,20,0.835948,0.065349,0.001799,0.006041
9,0.020323,0.018246,20,0.837185,0.065591,0.001237,0.003851
10,0.023182,0.020652,20,0.840537,0.063703,0.003351,0.007426
11,0.037843,0.017454,11,0.823726,0.048733,0.00133,0.004187
12,0.038409,0.019329,10,0.823019,0.050912,0.001636,0.004503
13,0.042513,0.021931,7,0.819628,0.047427,0.000219,0.001047
14,0.046063,0.021709,6,0.82366,0.045188,0.00058,0.002721
15,0.050135,0.021817,5,0.825093,0.046386,0.000636,0.001906
16,0.056867,0.027108,4,0.833636,0.04502,0.000997,0.004109
17,0.056867,0.027108,4,0.83232,0.045876,0.000155,0.000622
18,0.056867,0.027108,4,0.830797,0.047291,0.000798,0.003091
19,0.070037,0.007852,3,0.832165,0.050848,0.0,0.0
20,0.074511,0.001788,2,0.822814,0.04704,0.000694,0.002165
