timestamp,pattern_name,mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
20250811_010750,rand_00YONAPXZE,insertion,-0.022106078952449336,43,-0.021544515104290902,26,-0.02296494130845635,17,0,0
20250811_010750,rand_00YONAPXZE,design_params,-0.028167027062323827,45,-0.024341819224310158,29,-0.0351002162687236,16,0,0
20250811_010750,rand_00YONAPXZE,swap,-0.02762747836457162,47,-0.023848570902694828,25,-0.0319216913894316,22,0,0
20250811_010750,rand_00YONAPXZE,split,-0.010733083207337379,38,-0.011590703337876946,20,-0.009780171951182304,18,0,0
20250811_010750,rand_00YONAPXZE,scramble,-0.02494712626800057,39,-0.01991299110302839,19,-0.02972955467472414,20,0,0
20250811_010750,rand_00YONAPXZE,rotate,-0.4064747888582311,31,-0.46050815569685716,16,-0.3488391975636965,15,0,0
20250811_010750,rand_00YONAPXZE,inversion,-0.022412900471593358,32,-0.018041751720317144,15,-0.02626979642860178,17,0,0
20250811_012137,rand_023FMIGQK0,scramble,-0.06022717563170834,58,-0.056851964507445375,23,-0.059017602350324404,15,-0.06501584838564871,20
20250811_012137,rand_023FMIGQK0,inversion,-0.0714537351503332,78,-0.07475693598822886,28,-0.051809313491011484,19,-0.08051032831375365,31
20250811_012137,rand_023FMIGQK0,design_params,-0.05942104651636291,80,-0.03119710384079315,23,-0.0753074736140033,16,-0.06905440866211553,41
20250811_012137,rand_023FMIGQK0,swap,-0.05659556102093585,72,-0.057084307960761235,17,-0.05678934513195611,15,-0.056315174529877464,40
20250811_012137,rand_023FMIGQK0,rotate,-0.07762953399113177,76,-0.0501854005339619,25,-0.09110853429191072,19,-0.09106710682595826,32
20250811_012137,rand_023FMIGQK0,insertion,-0.049752529716939976,64,-0.04756669341057538,19,-0.0677957013098349,16,-0.041229776073305795,29
20250811_012137,rand_023FMIGQK0,split,-0.025753948132686437,70,-0.035833334834135054,14,-0.02387829139037474,24,-0.02275095900753644,32
20250811_012623,rand_033UAN6C0K,design_params,-0.12480657033900304,37,-0.12104473109644251,13,-0.12684423326205663,24,0,0
20250811_012623,rand_033UAN6C0K,scramble,-0.03327306462421668,26,-0.02599737314500431,16,-0.04491417099095648,10,0,0
20250811_012623,rand_033UAN6C0K,inversion,-0.04622778305760378,41,-0.05184752528499212,27,-0.03538970876192624,14,0,0
20250811_012623,rand_033UAN6C0K,insertion,-0.05001007032395077,30,-0.03533080146572183,19,-0.07536517107907349,11,0,0
20250811_012623,rand_033UAN6C0K,split,-0.01854366169703557,37,-0.01356634544588428,26,-0.030308227381574983,11,0,0
20250811_012623,rand_033UAN6C0K,rotate,-0.07768564277124343,40,-0.07784268624866922,24,-0.07745007755510475,16,0,0
20250811_012623,rand_033UAN6C0K,swap,-0.049928253236735325,39,-0.040686340879545126,25,-0.06643166816028925,14,0,0
20250811_084104,rand_03EQU44RFB,rotate,-0.3361405819965938,68,-0.2468107253505009,23,-0.2948931488499863,20,-0.4513219966282853,25
20250811_084104,rand_03EQU44RFB,design_params,-0.02725124983415632,71,-0.01958522189963876,26,-0.013703051401717273,15,-0.04066923992695772,30
20250811_084104,rand_03EQU44RFB,split,-0.008361807542407304,69,-0.015814966993049913,16,-0.005629404029235142,24,-0.006511019028815928,29
20250811_084104,rand_03EQU44RFB,insertion,-0.018337447474991657,72,-0.01682311488510284,30,-0.01741737864330032,16,-0.020650950513596507,26
20250811_084104,rand_03EQU44RFB,swap,-0.022547483558401322,65,-0.02051386193768119,24,-0.018774832172060867,13,-0.02604217594839094,28
20250811_084104,rand_03EQU44RFB,scramble,-0.016531936167885095,66,-0.021289552395955938,13,-0.010898348641548176,25,-0.019353031781938736,28
20250811_084104,rand_03EQU44RFB,inversion,-0.0248159048987451,64,-0.020605052717167966,18,-0.017911027219202846,12,-0.029482195234712606,34
20250811_093252,rand_04ANOD2PBA,rotate,-0.3140103771089439,36,-0.31133220134015427,24,-0.31936672864652316,12,0,0
20250811_093252,rand_04ANOD2PBA,design_params,-0.03695409828021304,36,-0.03669933111478758,18,-0.03720886544563849,18,0,0
20250811_093252,rand_04ANOD2PBA,inversion,-0.03671209730313919,35,-0.03683118942484669,22,-0.03651055678948037,13,0,0
20250811_093252,rand_04ANOD2PBA,scramble,-0.03206160601299529,43,-0.027987729936299582,28,-0.03966617468949394,15,0,0
20250811_093252,rand_04ANOD2PBA,insertion,-0.03005485747697163,38,-0.025032376290060814,26,-0.04093690004861172,12,0,0
