generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mut_gain_swap,mut_gain_rotate,mut_gain_scramble,mut_gain_insertion
1,0.6271776001343742,0.665059120534307,0.6167304150423193,0.6243364385858212,0.6253034321271707,0.6979293438175753,0.0,-0.01988010739197437,-0.03805240604765346,-0.05022450543159979,-0.050577019418482604,-0.022928123200096868,-0.013432889462620815
2,0.6287741880256945,0.6824794448675409,0.6130816571291675,0.6373514783931628,0.6098977358528056,0.6979293438175753,0.0,-0.0393538752028164,-0.04376303248442378,-0.036553206347894794,-0.035855016642906884,-0.06075807978987456,-0.08846846839297662
3,0.6321505887208562,0.6877274229860512,0.6267672949235565,0.6399614196026484,0.6067993986549348,0.6979293438175753,0.0,-0.012659618997443955,-0.047368206637617365,-0.051439149562467576,-0.012940519405045814,-0.05707899461417925,-0.0077765976833155115
4,0.6324138810810002,0.6947812428285383,0.6203081827690184,0.6309594674978753,0.6216344441506415,0.6979293438175753,0.0,-0.04216557291724761,-0.06425940446751467,-0.05773018902240231,-0.06332182736653574,-0.0704297462836577,-0.05763023721938585
5,0.631435237860697,0.6966810928296507,0.6209275316609244,0.636783086987758,0.6095612915014794,0.7174060476050181,0.019476703787442817,-0.04232176703191483,-0.05983646651431852,-0.061277136917780535,-0.06260573108709096,-0.04301877932563709,-0.0748367761614803
6,0.6397074332093972,0.6995652983530005,0.6236021793664386,0.6434359106266118,0.6255203441672152,0.7174060476050181,0.0,-0.04134962576412628,-0.05709138796914111,-0.04833123181436984,-0.05638774220520139,-0.07697755006707188,-0.01951524040739383
7,0.6353723856203687,0.7035483857782783,0.6158559848035742,0.6442014744754494,0.61388586763882,0.7322901071502768,0.014884059545258621,-0.0461966225455519,-0.056688101942785105,-0.04412284422983285,-0.08023613516438727,-0.04446962157043459,-0.0697703166081273
8,0.6401787181962998,0.7079023120653263,0.6158036951164567,0.6549398006095141,0.6141727590755675,0.7322901071502768,0.0,-0.033594321569985125,-0.05275708265687233,-0.0690263957198068,-0.04893007511366329,-0.05744892477498315,-0.029262277491303057
9,0.6403874243664001,0.7131852957893525,0.6143271104760708,0.6630422118434651,0.6032886265162146,0.7322901071502768,0.0,-0.03932162052967718,-0.05020138785303711,-0.03905466190346158,-0.08534806723904888,-0.029375725184312355,-0.04380506385624241
10,0.6583231070522362,0.7223917745266698,0.6559014733979954,0.6763683456494053,0.6145209888673588,0.7322901071502768,0.0,-0.042089752729652194,-0.046372391089702016,-0.05891756282896511,-0.028584026785408174,-0.06804752903838841,-0.049424333661138076
11,0.6491589056769311,0.7293050707825874,0.6242472610132507,0.667272730715733,0.6148995136990963,0.7322901071502768,0.0,-0.057975155719820114,-0.06096288372146683,-0.06595381636488044,-0.04688766470670595,-0.04142588640833629,-0.07732020242767265
12,0.6511613516347363,0.7315846217075699,0.6401630241128986,0.6655232648840304,0.6125365956259573,0.7322901071502768,0.0,-0.03529645559213296,-0.06623772818421605,-0.07384860581358617,-0.05173708221276274,-0.06249007133493744,-0.07584272343128928
13,0.6514330453087226,0.7322901071502769,0.6369950086435352,0.6691851178209148,0.6104366191220731,0.7322901071502768,0.0,-0.03543706334327272,-0.06310498932936191,-0.06305567931609635,-0.03847611616370461,-0.07513284813001048,-0.058985903839488124
14,0.659063746125091,0.7322901071502769,0.651907458771323,0.6766977975780735,0.6159137487485639,0.7322901071502768,0.0,-0.047266845063136845,-0.055592309572203236,-0.061060738171088445,-0.07253209491510833,-0.023052239408151508,-0.040028110998088215
15,0.650622099254629,0.7322901071502769,0.6367695476836845,0.6671354061346764,0.6106167218299793,0.7322901071502768,0.0,-0.03953953291345872,-0.06515470101560049,-0.062447456141442155,-0.0656986269119152,-0.07171502932093263,-0.027578530155591974
