generation,avg_mut,avg_off,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mean_random_gain
1,0.45520967754394565,0.41079483356337054,0.4177709504518473,0.5686069179209986,0.0,0.14239310831069157,0.18680795229126668,0.14936922519916834
2,0.47347766194727087,0.4263043334198377,0.42532695301565515,0.605080457929245,0.03647354000824643,0.14593612171317505,0.19310945024060822,0.1449587413089925
3,0.4619419124108945,0.4481217962424104,0.4105194509258331,0.605080457929245,0.0,0.15943219964160482,0.17325231581008893,0.12182985432502752
4,0.4955121683263851,0.44397135911051455,0.4283679089457889,0.605080457929245,0.0,0.15223818637625486,0.20377899559212542,0.13663473621152922
5,0.48648733822391205,0.46060242291098163,0.40873608687062185,0.6389533181941908,0.03387286026494574,0.1623329860803432,0.1882179013932736,0.1104666500399834
6,0.5202011258434392,0.43287254667357306,0.4200271944796471,0.6389533181941908,0.0,0.12838136000120198,0.21570993917106818,0.11553600780727602
7,0.5111670148208576,0.46008744714997807,0.41916803408305203,0.6546910766520597,0.015737758457868956,0.15094790005880687,0.20202746772968638,0.11002848699188084
8,0.5003097181237075,0.443940446322818,0.4139122234810385,0.6546910766520597,0.0,0.12642532862244,0.1827946004233295,0.09639710578066052
9,0.5262816975635948,0.45590818063637517,0.41770514794558655,0.6546910766520597,0.0,0.137324691426146,0.2076982083533656,0.09912165873535739
10,0.49688560949854865,0.4427690744464467,0.41021846650663407,0.6546910766520597,0.0,0.12201055299857977,0.17612708805068172,0.08945994505876714
11,0.5209535916788978,0.42890187401456875,0.4306276513781809,0.6546910766520597,0.0,0.10721850257683041,0.19927022024115942,0.10894427994044253
12,0.5200676631561063,0.4535110869659736,0.42101424834302315,0.6546910766520597,0.0,0.131811682284106,0.19836825847423872,0.09931484366115556
13,0.4781093040767657,0.4453604178917027,0.4139722160901585,0.6546910766520597,0.0,0.12176275249455559,0.1545116386796186,0.09037455069301137
14,0.48581734904105317,0.46071665464420325,0.4229275945102654,0.6546910766520597,0.0,0.13711898924705612,0.16221968364390604,0.09932992911311828
15,0.5067749259641282,0.4537630832555773,0.41567417411710333,0.6546910766520597,0.0,0.12641754492954743,0.17942938763809835,0.08832863579107347
16,0.531789488139266,0.45767898937171286,0.42311907253726844,0.6546910766520597,0.0,0.130333451045683,0.2044439498132361,0.09577353421123858
17,0.5168272976100535,0.4550864361946322,0.4185183148071824,0.6546910766520597,0.0,0.12774089786860232,0.18948175928402367,0.09117277648115252
18,0.5192285809072703,0.4546820222578781,0.41772503765785063,0.6546910766520597,0.0,0.12733648393184827,0.19188304258124045,0.09037949933182077
19,0.4968452456650712,0.4507077011182246,0.42467803429242357,0.6546910766520597,0.0,0.12336216279219475,0.16949970733904135,0.0973324959663937
20,0.5043522350969839,0.45077054304019465,0.4027669594890312,0.6546910766520597,0.0,0.12342500471416479,0.17700669677095404,0.07542142116300132
21,0.5002660609911358,0.4297760893266842,0.399076575282072,0.6546910766520597,0.0,0.10243055100065435,0.17292052266510594,0.07173103695604216
22,0.5190644822177349,0.44952661959850226,0.41190925959093305,0.6546910766520597,0.0,0.1221810812724724,0.19171894389170507,0.08456372126490319
23,0.5205783306253394,0.47954476036916943,0.4208235246454891,0.6546910766520597,0.0,0.15219922204313957,0.19323279229930956,0.09347798631945925
24,0.5091808602166554,0.4642766319594093,0.4156780837047058,0.6546910766520597,0.0,0.13693109363337946,0.18183532189062557,0.08833254537867596
25,0.5377769562398671,0.45446613739524366,0.42165614277491936,0.6546910766520597,0.0,0.1271205990692138,0.21043141791383724,0.0943106044488895
