Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5947732601649701,0.46750559588821156,0.6,0.0,0.6,0.01668484062507921,0.0316056006239438
2,0.5947732601649701,0.467757772993307,0.8,0.0,0.2,-0.0005735528308425831,0.0
3,0.5947732601649701,0.46780904021848946,0.8,0.0,0.4,0.002704140147480527,0.0
4,0.5947732601649701,0.47248353709521485,0.8,0.0,0.2,0.015844032062704627,-0.023430360301002484
5,0.5947732601649701,0.47597656365145335,1.0,0.0,0.0,-0.012232617496010534,-0.034597210931622435
6,0.5947732601649701,0.4764691866847063,0.8,0.0,0.0,-0.026534432755704516,0.0
7,0.6583862957194269,0.47740989903002395,0.8,0.06361303555445674,0.2,-0.006262610660925016,-0.04636051901736338
8,0.6583862957194269,0.5077605382704167,0.8,0.0,0.4,0.010922904173016867,0.0
9,0.6583862957194269,0.49916324198783607,0.8,0.0,0.0,-0.06398982079551845,0.0
10,0.6583862957194269,0.4930374309844739,0.8,0.0,0.0,-0.09412372219008655,0.022083830779787234
