Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5923461504229851,0.4753632577667433,0.6666666666666666,0.0,0.23529411764705882,-0.0010365471670881559,-0.0030138943628269708
2,0.5923461504229851,0.47986627290222233,0.6666666666666666,0.0,0.29411764705882354,-0.021388845952396374,0.039339510331331096
3,0.5923461504229851,0.4744623653270272,0.6666666666666666,0.0,0.11764705882352941,-0.01275696817656018,-0.04789213911385476
4,0.5923461504229851,0.4737667123872956,1.0,0.0,0.11764705882352941,-0.025915514941886052,-2.5165884629021102e-05
5,0.5923461504229851,0.4708077504145765,1.0,0.0,0.17647058823529413,-0.024425167912753946,-0.012088370728106776
6,0.5923461504229851,0.47134898130746117,1.0,0.0,0.11764705882352941,-0.017071567408846647,-0.05203947544171539
7,0.5923461504229851,0.46738409989196994,1.0,0.0,0.0,-0.02474214011192186,-0.02562771377826488
8,0.6061106718043751,0.4843985937343922,0.6666666666666666,0.01376452138138995,0.29411764705882354,0.007383231561694116,-0.04512124749111737
9,0.6061106718043751,0.47473741845239725,0.6666666666666666,0.0,0.11764705882352941,-0.01503126954805577,0.0004165577713392543
10,0.6061106718043751,0.4701841336717059,1.0,0.0,0.11764705882352941,-0.017788634583129743,-0.028497201481974876
