Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.6002380175122659,0.47820035746899264,0.6,0.0,0.4,0.0021791734870660663,-0.003545965343486168
2,0.6002380175122659,0.4764406198436124,0.8,0.0,0.13333333333333333,-0.01546135027280698,-0.008347706592541818
3,0.6002380175122659,0.47212216924800104,0.8,0.0,0.13333333333333333,-0.023804062946328242,-0.006929090617004562
4,0.6002380175122659,0.4730908318818227,0.8,0.0,0.06666666666666667,-0.0055161604210545905,-0.037970303894238916
5,0.6002380175122659,0.48485264943017603,0.8,0.0,0.13333333333333333,-0.009369200377110313,0.0
6,0.6002380175122659,0.48529940633903224,0.6,0.0,0.2,-0.022038081207226667,-0.036260147073925414
7,0.6002380175122659,0.48568558214649765,0.8,0.0,0.13333333333333333,-0.04128744338385496,0.03192284041390789
8,0.6038307209796653,0.49036146522810037,0.8,0.003592703467399372,0.2,-0.0355905532097954,0.0
9,0.6188020799095525,0.49812019881999176,0.8,0.014971358929887213,0.3333333333333333,-0.011115037103275768,-0.000664457757127257
10,0.6188020799095525,0.4798226435831069,1.0,0.0,0.06666666666666667,-0.043728962210120174,-0.12487312483033808
11,0.6188020799095525,0.4855689149256494,1.0,0.0,0.13333333333333333,-0.009732860785485072,-0.04017018332278871
12,0.6330788597571226,0.5046739756951155,0.8,0.014276779847570142,0.3333333333333333,-0.008863580934081794,-0.0041061358684010285
13,0.6330788597571226,0.49131241018779565,1.0,0.0,0.06666666666666667,-0.052663950468869986,-0.0016226880949754736
14,0.6330788597571226,0.5183418439127929,1.0,0.0,0.13333333333333333,-0.020885602451493457,0.06624337756608031
15,0.6330788597571226,0.5028562324157979,1.0,0.0,0.0,-0.03218713461410512,-0.05231994253585434
