Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.590591246277202,0.47152856747926225,0.4,0.0,0.5333333333333333,0.005584999135690435,0.04735684421275155
2,0.590591246277202,0.4782983790163245,0.8,0.0,0.06666666666666667,-0.008932216352396638,-0.0003322288785636007
3,0.590591246277202,0.46904257152725953,1.0,0.0,0.2,-0.015522235560162611,0.00022731819772256467
4,0.595968176358569,0.47244813485435644,0.8,0.005376930081366971,0.06666666666666667,-0.02084367171769588,0.0
5,0.595968176358569,0.47700995976130994,1.0,0.0,0.06666666666666667,-0.0302682430462322,0.029787941349151192
6,0.595968176358569,0.4764530606890183,0.8,0.0,0.2,-0.014581803279384931,-0.0229804315358207
7,0.595968176358569,0.4818492065313418,0.8,0.0,0.13333333333333333,-0.013815143512094926,0.0036277976662272976
8,0.595968176358569,0.47495278952420866,1.0,0.0,0.13333333333333333,-0.03557101464759923,-0.0018079596120493813
9,0.595968176358569,0.48232299532416284,0.8,0.0,0.13333333333333333,-0.011404242288496584,-0.013273126769837959
10,0.595968176358569,0.47981229000699344,1.0,0.0,0.26666666666666666,-0.018892132214321136,-0.0207019428002799
11,0.595968176358569,0.4895394086770625,0.8,0.0,0.13333333333333333,-0.014891949040923006,0.00811273184187361
12,0.595968176358569,0.4941741748400865,0.8,0.0,0.06666666666666667,-0.010844132586414711,-0.03775011286559484
13,0.5975633726548739,0.4839273179145371,0.8,0.0015951962963048905,0.13333333333333333,-0.009195024445102274,-0.03488517210889905
14,0.6086293610373715,0.4795052755753622,0.8,0.011065988382497616,0.2,-0.012108022586362484,-0.0218801428461315
15,0.6086293610373715,0.48809009041019197,0.8,0.0,0.06666666666666667,-0.0012130170454894027,-0.1387191395881584
