Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.6251905239530989,0.4675562137377673,0.8,0.0,0.0,-0.006821744590913914,0.0
2,0.6251905239530989,0.46702027258953505,1.0,0.0,0.0,-0.05232828090351325,0.0
3,0.6251905239530989,0.46728156321656655,1.0,0.0,0.2,-0.043482034271084144,0.0
4,0.6251905239530989,0.4793315866519908,0.8,0.0,0.4,-0.03488011212393408,0.0
5,0.6251905239530989,0.4846629900690928,1.0,0.0,0.0,-0.054122610652106454,0.0
6,0.6251905239530989,0.4671391602109828,1.0,0.0,0.0,-0.05746739419222532,0.0
7,0.6251905239530989,0.46734280950005447,1.0,0.0,0.4,-0.024389715523889723,0.0
8,0.6251905239530989,0.48504549548647546,0.8,0.0,0.4,-0.02005087394001657,-0.0004776643155061655
9,0.6251905239530989,0.47213846411443783,1.0,0.0,0.0,-0.06893301184228455,0.0
10,0.6251905239530989,0.4675277602684352,1.0,0.0,0.0,-0.017452343431162975,0.0
11,0.6251905239530989,0.49441832070729796,0.8,0.0,0.2,-0.022555149111140472,0.0
12,0.6251905239530989,0.5123793094495355,0.8,0.0,0.4,-0.003935552411906351,0.0030398232562331984
13,0.6251905239530989,0.47966113196831195,1.0,0.0,0.0,-0.08681340213046135,0.0
14,0.6251905239530989,0.5164184340358314,0.8,0.0,0.4,-0.029227733966050808,0.0472363417976806
15,0.6251905239530989,0.48141827183788344,1.0,0.0,0.0,-0.06532190219218992,1.1102230246251565e-16
