Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5900193417224542,0.4753836836721836,0.6,0.0052756607031820835,0.3333333333333333,-0.002546632790349982,-0.016605934592597644
2,0.5900193417224542,0.47205211635576905,0.8,0.0,0.0,-0.0119165238353523,0.0
3,0.5976529526673408,0.5045819936367468,0.4,0.007633610944886571,0.26666666666666666,0.01389424143263952,-5.9725644689756496e-05
4,0.6443134511601223,0.5067611369934003,0.6,0.04666049849278153,0.13333333333333333,-0.02663647991832554,-0.0022240416101558616
5,0.6443134511601223,0.4893074401400102,1.0,0.0,0.06666666666666667,-0.019847540175347952,-0.0009842459806131965
6,0.6443134511601223,0.4971067592185766,0.8,0.0,0.13333333333333333,-0.023987560573985624,-0.022068366038793613
7,0.6443134511601223,0.4913843619285478,1.0,0.0,0.2,-0.020383148252511887,-0.06846553015220072
8,0.6443134511601223,0.5028050565201652,0.8,0.0,0.06666666666666667,-0.004224858505755687,-0.03998288989411897
9,0.6443134511601223,0.4863113348630719,1.0,0.0,0.0,-0.0552723858110333,-0.0034483468257877903
10,0.6443134511601223,0.49366959785664716,0.8,0.0,0.26666666666666666,-0.02270745138142969,-0.0020125909269327336
