Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.4804647466990329,0.3539675511520013,1.0,0.0,0.14285714285714285,-0.014652894961157384,-0.04716540600490754
2,0.4804647466990329,0.3716327476899239,0.6666666666666666,0.0,0.14285714285714285,0.014846770155567266,0.0
3,0.4804647466990329,0.4272600741282587,0.6666666666666666,0.0,0.42857142857142855,0.027567542232156413,0.0
4,0.5259403982399293,0.40281999219136316,0.3333333333333333,0.045475651540896445,0.2857142857142857,-0.03687904152207126,0.0
5,0.5459878695609798,0.4154221598151744,0.6666666666666666,0.020047471321050447,0.2857142857142857,0.03273348248716553,0.0
6,0.5829488687940708,0.4094795851793243,0.6666666666666666,0.03696099923309104,0.2857142857142857,-0.030922179755813604,0.0
7,0.5829488687940708,0.4160172965218506,1.0,0.0,0.2857142857142857,0.008699847652537134,0.0
8,0.5829488687940708,0.4314158082723663,0.3333333333333333,0.0,0.14285714285714285,-0.02407101893581714,0.0
9,0.5829488687940708,0.4624872313101398,1.0,0.0,0.0,-0.00676035089516676,0.0
10,0.5829488687940708,0.5077917129058656,0.3333333333333333,0.0,0.2857142857142857,-0.005955172926205335,-0.01474093505223173
11,0.5829488687940708,0.4973342918189649,1.0,0.0,0.0,-0.022856745977473465,-0.017371399814126498
12,0.5829488687940708,0.5256044751312609,1.0,0.0,0.0,0.0036900626873839692,-0.0018420125672004573
13,0.5829488687940708,0.5291115254488978,1.0,0.0,0.14285714285714285,-0.010500767877385131,0.0
14,0.5829488687940708,0.5468935205732796,0.6666666666666666,0.0,0.0,0.0022049269674518607,0.0
15,0.5829488687940708,0.5523513840072818,1.0,0.0,0.2857142857142857,-0.00033929672930061675,0.0037727698918903485
16,0.5829488687940708,0.5554582979539632,1.0,0.0,0.14285714285714285,-0.014527370213950739,0.0
17,0.5829488687940708,0.5627826759500483,1.0,0.0,0.14285714285714285,-0.0027250520425180025,-0.004074051336790563
18,0.5829488687940708,0.5661102216762204,1.0,0.0,0.14285714285714285,-0.0003712018942422552,0.0
19,0.5829488687940708,0.5672680346571466,1.0,0.0,0.2857142857142857,-0.0009189112732581447,0.0014305560636231895
20,0.5829488687940708,0.5621306136211935,0.6666666666666666,0.0,0.0,-0.008415646099174381,0.0
21,0.5840556481712108,0.5576526370141432,0.6666666666666666,0.001106779377139988,0.2857142857142857,-0.005984123974267318,0.0
22,0.5840556481712108,0.5496456590024321,0.6666666666666666,0.0,0.14285714285714285,-0.00865121196902555,-0.0021690090134069973
