pattern,algorithm,split,run,usage_bb,concave_hull,rest_length
rand_00YONAPXZE_specification,BL,False,0,0.0,0.0,0.0
rand_00YONAPXZE_specification,BL,False,1,0.0,0.0,0.0
rand_00YONAPXZE_specification,BL,False,2,0.46606196228062685,0.669276916898885,18.0
rand_00YONAPXZE_specification,NFP,False,0,0.0,0.0,0.0
rand_00YONAPXZE_specification,NFP,False,1,0.0,0.0,0.0
rand_00YONAPXZE_specification,NFP,False,2,0.0,0.0,0.0
rand_00YONAPXZE_specification,BL,True,0,0.0,0.0,0.0
rand_00YONAPXZE_specification,BL,True,1,0.0,0.0,0.0
rand_00YONAPXZE_specification,BL,True,2,0.0,0.0,0.0
rand_00YONAPXZE_specification,NFP,True,0,0.5003207143475699,0.6400565646921567,3.6399999999999864
rand_00YONAPXZE_specification,NFP,True,1,0.6319600968179726,0.7154432645330095,5.388000000000005
rand_00YONAPXZE_specification,NFP,True,2,0.6079900947007967,0.6877058121329536,7.050999999999988
rand_023FMIGQK0_specification,BL,False,0,0.0,0.0,0.0
rand_023FMIGQK0_specification,BL,False,1,0.0,0.0,0.0
rand_023FMIGQK0_specification,BL,False,2,0.0,0.0,0.0
rand_023FMIGQK0_specification,NFP,False,0,0.4855259509261213,0.5813403979032907,3.4470000000000027
rand_023FMIGQK0_specification,NFP,False,1,0.4782204208271043,0.5738477545606859,3.2390000000000043
rand_023FMIGQK0_specification,NFP,False,2,0.5330999307408226,0.6120904834038143,19.28
rand_023FMIGQK0_specification,BL,True,0,0.0,0.0,0.0
rand_023FMIGQK0_specification,BL,True,1,0.0,0.0,0.0
rand_023FMIGQK0_specification,BL,True,2,0.0,0.0,0.0
rand_023FMIGQK0_specification,NFP,True,0,0.44884344213244753,0.5656099424923358,1.6330000000000098
rand_023FMIGQK0_specification,NFP,True,1,0.4854583131739931,0.5902914861613964,2.283999999999992
rand_023FMIGQK0_specification,NFP,True,2,0.4727741926791962,0.6036135947112335,1.6839999999999975
rand_033UAN6C0K_specification,BL,False,0,0.6475901063740844,0.7615950712506728,90.0
rand_033UAN6C0K_specification,BL,False,1,0.701503727629493,0.7725270224667498,90.0
rand_033UAN6C0K_specification,BL,False,2,0.6033851616021535,0.7404958242340087,90.0
rand_033UAN6C0K_specification,NFP,False,0,0.4570895025925441,0.6138290333347547,12.948999999999984
rand_033UAN6C0K_specification,NFP,False,1,0.5410009268707942,0.6674477000894751,2.2040000000000077
rand_033UAN6C0K_specification,NFP,False,2,0.532022860169478,0.7341762229453453,29.396
rand_033UAN6C0K_specification,BL,True,0,0.2684905858329619,0.6943495385668793,10.0
